dataset,building_id,building_type,metric,metric_type,value
sceaux,Sceaux,residential,cvrmse_0,hour_of_day,0.42656657099723816
sceaux,Sceaux,residential,cvrmse_1,hour_of_day,0.3716604709625244
sceaux,Sceaux,residential,cvrmse_2,hour_of_day,0.27404913306236267
sceaux,Sceaux,residential,cvrmse_3,hour_of_day,0.2205292135477066
sceaux,Sceaux,residential,cvrmse_4,hour_of_day,0.23373767733573914
sceaux,Sceaux,residential,cvrmse_5,hour_of_day,0.2589956223964691
sceaux,Sceaux,residential,cvrmse_6,hour_of_day,0.48940610885620117
sceaux,Sceaux,residential,cvrmse_7,hour_of_day,0.6973101496696472
sceaux,Sceaux,residential,cvrmse_8,hour_of_day,0.6315314173698425
sceaux,Sceaux,residential,cvrmse_9,hour_of_day,0.6502635478973389
sceaux,Sceaux,residential,cvrmse_10,hour_of_day,0.7176969051361084
sceaux,Sceaux,residential,cvrmse_11,hour_of_day,0.8022534847259521
sceaux,Sceaux,residential,cvrmse_12,hour_of_day,0.856401801109314
sceaux,Sceaux,residential,cvrmse_13,hour_of_day,0.8823394179344177
sceaux,Sceaux,residential,cvrmse_14,hour_of_day,0.7892261743545532
sceaux,Sceaux,residential,cvrmse_15,hour_of_day,0.7558092474937439
sceaux,Sceaux,residential,cvrmse_16,hour_of_day,0.8151207566261292
sceaux,Sceaux,residential,cvrmse_17,hour_of_day,0.7926074266433716
sceaux,Sceaux,residential,cvrmse_18,hour_of_day,0.8259669542312622
sceaux,Sceaux,residential,cvrmse_19,hour_of_day,0.9522282481193542
sceaux,Sceaux,residential,cvrmse_20,hour_of_day,0.959916353225708
sceaux,Sceaux,residential,cvrmse_21,hour_of_day,1.0114939212799072
sceaux,Sceaux,residential,cvrmse_22,hour_of_day,0.9867438673973083
sceaux,Sceaux,residential,cvrmse_23,hour_of_day,0.8353219032287598
sceaux,Sceaux,residential,nmbe_0,hour_of_day,0.008133606985211372
sceaux,Sceaux,residential,nmbe_1,hour_of_day,-0.08799426257610321
sceaux,Sceaux,residential,nmbe_2,hour_of_day,-0.0663413405418396
sceaux,Sceaux,residential,nmbe_3,hour_of_day,-0.08396638929843903
sceaux,Sceaux,residential,nmbe_4,hour_of_day,-0.05419154092669487
sceaux,Sceaux,residential,nmbe_5,hour_of_day,-0.13956408202648163
sceaux,Sceaux,residential,nmbe_6,hour_of_day,-0.16741418838500977
sceaux,Sceaux,residential,nmbe_7,hour_of_day,-0.075379878282547
sceaux,Sceaux,residential,nmbe_8,hour_of_day,0.051735371351242065
sceaux,Sceaux,residential,nmbe_9,hour_of_day,-0.07292594760656357
sceaux,Sceaux,residential,nmbe_10,hour_of_day,-0.0017689504893496633
sceaux,Sceaux,residential,nmbe_11,hour_of_day,0.1116933673620224
sceaux,Sceaux,residential,nmbe_12,hour_of_day,0.06645789742469788
sceaux,Sceaux,residential,nmbe_13,hour_of_day,0.0012069796212017536
sceaux,Sceaux,residential,nmbe_14,hour_of_day,-0.061988335102796555
sceaux,Sceaux,residential,nmbe_15,hour_of_day,-0.06651049852371216
sceaux,Sceaux,residential,nmbe_16,hour_of_day,-0.11916807293891907
sceaux,Sceaux,residential,nmbe_17,hour_of_day,-0.12824036180973053
sceaux,Sceaux,residential,nmbe_18,hour_of_day,-0.20661699771881104
sceaux,Sceaux,residential,nmbe_19,hour_of_day,-0.22030559182167053
sceaux,Sceaux,residential,nmbe_20,hour_of_day,-0.11050055921077728
sceaux,Sceaux,residential,nmbe_21,hour_of_day,-0.18479816615581512
sceaux,Sceaux,residential,nmbe_22,hour_of_day,-0.32426896691322327
sceaux,Sceaux,residential,nmbe_23,hour_of_day,-0.22136996686458588
sceaux,Sceaux,residential,nmae_0,hour_of_day,0.28558120131492615
sceaux,Sceaux,residential,nmae_1,hour_of_day,0.2619726061820984
sceaux,Sceaux,residential,nmae_2,hour_of_day,0.20641063153743744
sceaux,Sceaux,residential,nmae_3,hour_of_day,0.15475356578826904
sceaux,Sceaux,residential,nmae_4,hour_of_day,0.16799646615982056
sceaux,Sceaux,residential,nmae_5,hour_of_day,0.2153502106666565
sceaux,Sceaux,residential,nmae_6,hour_of_day,0.40765777230262756
sceaux,Sceaux,residential,nmae_7,hour_of_day,0.5755448937416077
sceaux,Sceaux,residential,nmae_8,hour_of_day,0.5137601494789124
sceaux,Sceaux,residential,nmae_9,hour_of_day,0.5006438493728638
sceaux,Sceaux,residential,nmae_10,hour_of_day,0.549310564994812
sceaux,Sceaux,residential,nmae_11,hour_of_day,0.6282806396484375
sceaux,Sceaux,residential,nmae_12,hour_of_day,0.6472530961036682
sceaux,Sceaux,residential,nmae_13,hour_of_day,0.6580410599708557
sceaux,Sceaux,residential,nmae_14,hour_of_day,0.6322166919708252
sceaux,Sceaux,residential,nmae_15,hour_of_day,0.5890220403671265
sceaux,Sceaux,residential,nmae_16,hour_of_day,0.6441508531570435
sceaux,Sceaux,residential,nmae_17,hour_of_day,0.6229254603385925
sceaux,Sceaux,residential,nmae_18,hour_of_day,0.6642844080924988
sceaux,Sceaux,residential,nmae_19,hour_of_day,0.7809240221977234
sceaux,Sceaux,residential,nmae_20,hour_of_day,0.7586744427680969
sceaux,Sceaux,residential,nmae_21,hour_of_day,0.806403636932373
sceaux,Sceaux,residential,nmae_22,hour_of_day,0.8181792497634888
sceaux,Sceaux,residential,nmae_23,hour_of_day,0.655780553817749
borealis,home23,residential,cvrmse_0,hour_of_day,0.9901347160339355
borealis,home23,residential,cvrmse_1,hour_of_day,0.6900141835212708
borealis,home23,residential,cvrmse_2,hour_of_day,0.8565929532051086
borealis,home23,residential,cvrmse_3,hour_of_day,1.1932839155197144
borealis,home23,residential,cvrmse_4,hour_of_day,0.9225650429725647
borealis,home23,residential,cvrmse_5,hour_of_day,0.8916571736335754
borealis,home23,residential,cvrmse_6,hour_of_day,0.7428411245346069
borealis,home23,residential,cvrmse_7,hour_of_day,0.671866238117218
borealis,home23,residential,cvrmse_8,hour_of_day,0.6716907024383545
borealis,home23,residential,cvrmse_9,hour_of_day,0.6378962993621826
borealis,home23,residential,cvrmse_10,hour_of_day,0.5159603357315063
borealis,home23,residential,cvrmse_11,hour_of_day,0.4422745406627655
borealis,home23,residential,cvrmse_12,hour_of_day,0.43975189328193665
borealis,home23,residential,cvrmse_13,hour_of_day,0.39173197746276855
borealis,home23,residential,cvrmse_14,hour_of_day,0.6923587918281555
borealis,home23,residential,cvrmse_15,hour_of_day,0.5000160336494446
borealis,home23,residential,cvrmse_16,hour_of_day,0.4961686134338379
borealis,home23,residential,cvrmse_17,hour_of_day,0.5530142188072205
borealis,home23,residential,cvrmse_18,hour_of_day,0.47975027561187744
borealis,home23,residential,cvrmse_19,hour_of_day,0.4562850594520569
borealis,home23,residential,cvrmse_20,hour_of_day,0.587377667427063
borealis,home23,residential,cvrmse_21,hour_of_day,0.5096174478530884
borealis,home23,residential,cvrmse_22,hour_of_day,0.7850778102874756
borealis,home23,residential,cvrmse_23,hour_of_day,1.415259599685669
borealis,home23,residential,nmbe_0,hour_of_day,0.15520408749580383
borealis,home23,residential,nmbe_1,hour_of_day,-0.10489115864038467
borealis,home23,residential,nmbe_2,hour_of_day,-0.015387501567602158
borealis,home23,residential,nmbe_3,hour_of_day,-0.18318545818328857
borealis,home23,residential,nmbe_4,hour_of_day,-0.4720248878002167
borealis,home23,residential,nmbe_5,hour_of_day,-0.30541783571243286
borealis,home23,residential,nmbe_6,hour_of_day,-0.27124956250190735
borealis,home23,residential,nmbe_7,hour_of_day,-0.2633856236934662
borealis,home23,residential,nmbe_8,hour_of_day,-0.2646375000476837
borealis,home23,residential,nmbe_9,hour_of_day,-0.22414030134677887
borealis,home23,residential,nmbe_10,hour_of_day,-0.2070777863264084
borealis,home23,residential,nmbe_11,hour_of_day,-0.19606150686740875
borealis,home23,residential,nmbe_12,hour_of_day,-0.10204745829105377
borealis,home23,residential,nmbe_13,hour_of_day,-0.08451323956251144
borealis,home23,residential,nmbe_14,hour_of_day,-0.025637943297624588
borealis,home23,residential,nmbe_15,hour_of_day,-0.10167434811592102
borealis,home23,residential,nmbe_16,hour_of_day,-0.12895487248897552
borealis,home23,residential,nmbe_17,hour_of_day,-0.18031719326972961
borealis,home23,residential,nmbe_18,hour_of_day,-0.14502577483654022
borealis,home23,residential,nmbe_19,hour_of_day,-0.17496007680892944
borealis,home23,residential,nmbe_20,hour_of_day,-0.1619449406862259
borealis,home23,residential,nmbe_21,hour_of_day,-0.27753210067749023
borealis,home23,residential,nmbe_22,hour_of_day,-0.29297134280204773
borealis,home23,residential,nmbe_23,hour_of_day,0.00200152350589633
borealis,home23,residential,nmae_0,hour_of_day,0.5790804028511047
borealis,home23,residential,nmae_1,hour_of_day,0.49611929059028625
borealis,home23,residential,nmae_2,hour_of_day,0.542969286441803
borealis,home23,residential,nmae_3,hour_of_day,0.6770820617675781
borealis,home23,residential,nmae_4,hour_of_day,0.606916069984436
borealis,home23,residential,nmae_5,hour_of_day,0.5617400407791138
borealis,home23,residential,nmae_6,hour_of_day,0.3984004557132721
borealis,home23,residential,nmae_7,hour_of_day,0.3203371465206146
borealis,home23,residential,nmae_8,hour_of_day,0.30984359979629517
borealis,home23,residential,nmae_9,hour_of_day,0.31873440742492676
borealis,home23,residential,nmae_10,hour_of_day,0.2512108385562897
borealis,home23,residential,nmae_11,hour_of_day,0.25702396035194397
borealis,home23,residential,nmae_12,hour_of_day,0.27681681513786316
borealis,home23,residential,nmae_13,hour_of_day,0.24375902116298676
borealis,home23,residential,nmae_14,hour_of_day,0.48363757133483887
borealis,home23,residential,nmae_15,hour_of_day,0.3642211854457855
borealis,home23,residential,nmae_16,hour_of_day,0.3546522557735443
borealis,home23,residential,nmae_17,hour_of_day,0.3682456314563751
borealis,home23,residential,nmae_18,hour_of_day,0.3219265341758728
borealis,home23,residential,nmae_19,hour_of_day,0.3275687098503113
borealis,home23,residential,nmae_20,hour_of_day,0.39320799708366394
borealis,home23,residential,nmae_21,hour_of_day,0.4061973989009857
borealis,home23,residential,nmae_22,hour_of_day,0.6191692352294922
borealis,home23,residential,nmae_23,hour_of_day,0.8679575324058533
borealis,home21,residential,cvrmse_0,hour_of_day,0.35597530007362366
borealis,home21,residential,cvrmse_1,hour_of_day,0.44180265069007874
borealis,home21,residential,cvrmse_2,hour_of_day,0.392351359128952
borealis,home21,residential,cvrmse_3,hour_of_day,0.32769644260406494
borealis,home21,residential,cvrmse_4,hour_of_day,0.2221428006887436
borealis,home21,residential,cvrmse_5,hour_of_day,0.19378693401813507
borealis,home21,residential,cvrmse_6,hour_of_day,0.2998184561729431
borealis,home21,residential,cvrmse_7,hour_of_day,0.2612782418727875
borealis,home21,residential,cvrmse_8,hour_of_day,0.3086130917072296
borealis,home21,residential,cvrmse_9,hour_of_day,0.3135075867176056
borealis,home21,residential,cvrmse_10,hour_of_day,0.6685801148414612
borealis,home21,residential,cvrmse_11,hour_of_day,0.5963876843452454
borealis,home21,residential,cvrmse_12,hour_of_day,0.37116822600364685
borealis,home21,residential,cvrmse_13,hour_of_day,0.7204652428627014
borealis,home21,residential,cvrmse_14,hour_of_day,0.6658152937889099
borealis,home21,residential,cvrmse_15,hour_of_day,1.1051350831985474
borealis,home21,residential,cvrmse_16,hour_of_day,0.9047379493713379
borealis,home21,residential,cvrmse_17,hour_of_day,0.7354521155357361
borealis,home21,residential,cvrmse_18,hour_of_day,0.7088075280189514
borealis,home21,residential,cvrmse_19,hour_of_day,0.7777611017227173
borealis,home21,residential,cvrmse_20,hour_of_day,1.090088963508606
borealis,home21,residential,cvrmse_21,hour_of_day,0.9978894591331482
borealis,home21,residential,cvrmse_22,hour_of_day,0.6365363597869873
borealis,home21,residential,cvrmse_23,hour_of_day,0.526016891002655
borealis,home21,residential,nmbe_0,hour_of_day,-0.005697608459740877
borealis,home21,residential,nmbe_1,hour_of_day,-0.033969029784202576
borealis,home21,residential,nmbe_2,hour_of_day,-0.07762770354747772
borealis,home21,residential,nmbe_3,hour_of_day,-0.09384679049253464
borealis,home21,residential,nmbe_4,hour_of_day,-0.07163267582654953
borealis,home21,residential,nmbe_5,hour_of_day,-0.04280916973948479
borealis,home21,residential,nmbe_6,hour_of_day,-0.19781360030174255
borealis,home21,residential,nmbe_7,hour_of_day,-0.05611962825059891
borealis,home21,residential,nmbe_8,hour_of_day,0.029754970222711563
borealis,home21,residential,nmbe_9,hour_of_day,-0.09744840860366821
borealis,home21,residential,nmbe_10,hour_of_day,0.10032224655151367
borealis,home21,residential,nmbe_11,hour_of_day,0.17784824967384338
borealis,home21,residential,nmbe_12,hour_of_day,0.004611059091985226
