dataset,building_id,building_type,metric,metric_type,value
BDG-2,Panther_parking_Lorriane,residential,cvrmse_0,hour_of_day,0.09566682577133179
BDG-2,Panther_parking_Lorriane,residential,cvrmse_1,hour_of_day,0.10250663012266159
BDG-2,Panther_parking_Lorriane,residential,cvrmse_2,hour_of_day,0.11212971806526184
BDG-2,Panther_parking_Lorriane,residential,cvrmse_3,hour_of_day,0.12433493882417679
BDG-2,Panther_parking_Lorriane,residential,cvrmse_4,hour_of_day,0.11928120255470276
BDG-2,Panther_parking_Lorriane,residential,cvrmse_5,hour_of_day,0.1248098611831665
BDG-2,Panther_parking_Lorriane,residential,cvrmse_6,hour_of_day,0.1776544451713562
BDG-2,Panther_parking_Lorriane,residential,cvrmse_7,hour_of_day,0.36476871371269226
BDG-2,Panther_parking_Lorriane,residential,cvrmse_8,hour_of_day,0.3501576781272888
BDG-2,Panther_parking_Lorriane,residential,cvrmse_9,hour_of_day,0.31453701853752136
BDG-2,Panther_parking_Lorriane,residential,cvrmse_10,hour_of_day,0.35270988941192627
BDG-2,Panther_parking_Lorriane,residential,cvrmse_11,hour_of_day,0.3144359886646271
BDG-2,Panther_parking_Lorriane,residential,cvrmse_12,hour_of_day,0.2952374815940857
BDG-2,Panther_parking_Lorriane,residential,cvrmse_13,hour_of_day,0.285380095243454
BDG-2,Panther_parking_Lorriane,residential,cvrmse_14,hour_of_day,0.2793859839439392
BDG-2,Panther_parking_Lorriane,residential,cvrmse_15,hour_of_day,0.3196556270122528
BDG-2,Panther_parking_Lorriane,residential,cvrmse_16,hour_of_day,0.2855527997016907
BDG-2,Panther_parking_Lorriane,residential,cvrmse_17,hour_of_day,0.26777783036231995
BDG-2,Panther_parking_Lorriane,residential,cvrmse_18,hour_of_day,0.18219824135303497
BDG-2,Panther_parking_Lorriane,residential,cvrmse_19,hour_of_day,0.16633111238479614
BDG-2,Panther_parking_Lorriane,residential,cvrmse_20,hour_of_day,0.1878890097141266
BDG-2,Panther_parking_Lorriane,residential,cvrmse_21,hour_of_day,0.1862962245941162
BDG-2,Panther_parking_Lorriane,residential,cvrmse_22,hour_of_day,0.15574504435062408
BDG-2,Panther_parking_Lorriane,residential,cvrmse_23,hour_of_day,0.11841617524623871
BDG-2,Panther_parking_Lorriane,residential,nmbe_0,hour_of_day,-0.05735133960843086
BDG-2,Panther_parking_Lorriane,residential,nmbe_1,hour_of_day,-0.06937329471111298
BDG-2,Panther_parking_Lorriane,residential,nmbe_2,hour_of_day,-0.08398843556642532
BDG-2,Panther_parking_Lorriane,residential,nmbe_3,hour_of_day,-0.09062938392162323
BDG-2,Panther_parking_Lorriane,residential,nmbe_4,hour_of_day,-0.08043800294399261
BDG-2,Panther_parking_Lorriane,residential,nmbe_5,hour_of_day,-0.08012352138757706
BDG-2,Panther_parking_Lorriane,residential,nmbe_6,hour_of_day,-0.12877847254276276
BDG-2,Panther_parking_Lorriane,residential,nmbe_7,hour_of_day,-0.29439130425453186
BDG-2,Panther_parking_Lorriane,residential,nmbe_8,hour_of_day,-0.26126763224601746
BDG-2,Panther_parking_Lorriane,residential,nmbe_9,hour_of_day,-0.24417713284492493
BDG-2,Panther_parking_Lorriane,residential,nmbe_10,hour_of_day,-0.27515164017677307
BDG-2,Panther_parking_Lorriane,residential,nmbe_11,hour_of_day,-0.2407858818769455
BDG-2,Panther_parking_Lorriane,residential,nmbe_12,hour_of_day,-0.22437556087970734
BDG-2,Panther_parking_Lorriane,residential,nmbe_13,hour_of_day,-0.21782457828521729
BDG-2,Panther_parking_Lorriane,residential,nmbe_14,hour_of_day,-0.2110467255115509
BDG-2,Panther_parking_Lorriane,residential,nmbe_15,hour_of_day,-0.2526227831840515
BDG-2,Panther_parking_Lorriane,residential,nmbe_16,hour_of_day,-0.18492929637432098
BDG-2,Panther_parking_Lorriane,residential,nmbe_17,hour_of_day,-0.16724802553653717
BDG-2,Panther_parking_Lorriane,residential,nmbe_18,hour_of_day,-0.11282472312450409
BDG-2,Panther_parking_Lorriane,residential,nmbe_19,hour_of_day,-0.10124392062425613
BDG-2,Panther_parking_Lorriane,residential,nmbe_20,hour_of_day,-0.11259331554174423
BDG-2,Panther_parking_Lorriane,residential,nmbe_21,hour_of_day,-0.12150100618600845
BDG-2,Panther_parking_Lorriane,residential,nmbe_22,hour_of_day,-0.11337950080633163
BDG-2,Panther_parking_Lorriane,residential,nmbe_23,hour_of_day,-0.08052221685647964
BDG-2,Panther_parking_Lorriane,residential,nmae_0,hour_of_day,0.06920702010393143
BDG-2,Panther_parking_Lorriane,residential,nmae_1,hour_of_day,0.0780099555850029
BDG-2,Panther_parking_Lorriane,residential,nmae_2,hour_of_day,0.09071001410484314
BDG-2,Panther_parking_Lorriane,residential,nmae_3,hour_of_day,0.10353820770978928
BDG-2,Panther_parking_Lorriane,residential,nmae_4,hour_of_day,0.10049112141132355
BDG-2,Panther_parking_Lorriane,residential,nmae_5,hour_of_day,0.10564006865024567
BDG-2,Panther_parking_Lorriane,residential,nmae_6,hour_of_day,0.14564348757266998
BDG-2,Panther_parking_Lorriane,residential,nmae_7,hour_of_day,0.32055485248565674
BDG-2,Panther_parking_Lorriane,residential,nmae_8,hour_of_day,0.29495611786842346
BDG-2,Panther_parking_Lorriane,residential,nmae_9,hour_of_day,0.2586861550807953
BDG-2,Panther_parking_Lorriane,residential,nmae_10,hour_of_day,0.3001863956451416
BDG-2,Panther_parking_Lorriane,residential,nmae_11,hour_of_day,0.2577914893627167
BDG-2,Panther_parking_Lorriane,residential,nmae_12,hour_of_day,0.2354741245508194
BDG-2,Panther_parking_Lorriane,residential,nmae_13,hour_of_day,0.23434092104434967
BDG-2,Panther_parking_Lorriane,residential,nmae_14,hour_of_day,0.22845689952373505
BDG-2,Panther_parking_Lorriane,residential,nmae_15,hour_of_day,0.26526331901550293
BDG-2,Panther_parking_Lorriane,residential,nmae_16,hour_of_day,0.2357340157032013
BDG-2,Panther_parking_Lorriane,residential,nmae_17,hour_of_day,0.21173430979251862
BDG-2,Panther_parking_Lorriane,residential,nmae_18,hour_of_day,0.15698778629302979
BDG-2,Panther_parking_Lorriane,residential,nmae_19,hour_of_day,0.13901613652706146
BDG-2,Panther_parking_Lorriane,residential,nmae_20,hour_of_day,0.15726909041404724
BDG-2,Panther_parking_Lorriane,residential,nmae_21,hour_of_day,0.16078245639801025
BDG-2,Panther_parking_Lorriane,residential,nmae_22,hour_of_day,0.1352539360523224
BDG-2,Panther_parking_Lorriane,residential,nmae_23,hour_of_day,0.09986122697591782
BDG-2,Panther_lodging_Cora,residential,cvrmse_0,hour_of_day,0.10978242009878159
BDG-2,Panther_lodging_Cora,residential,cvrmse_1,hour_of_day,0.1013137623667717
BDG-2,Panther_lodging_Cora,residential,cvrmse_2,hour_of_day,0.10091671347618103
BDG-2,Panther_lodging_Cora,residential,cvrmse_3,hour_of_day,0.10376651585102081
BDG-2,Panther_lodging_Cora,residential,cvrmse_4,hour_of_day,0.09995026141405106
BDG-2,Panther_lodging_Cora,residential,cvrmse_5,hour_of_day,0.10119040310382843
BDG-2,Panther_lodging_Cora,residential,cvrmse_6,hour_of_day,0.10231759399175644
BDG-2,Panther_lodging_Cora,residential,cvrmse_7,hour_of_day,0.10639175772666931
BDG-2,Panther_lodging_Cora,residential,cvrmse_8,hour_of_day,0.1083553358912468
BDG-2,Panther_lodging_Cora,residential,cvrmse_9,hour_of_day,0.10611861199140549
BDG-2,Panther_lodging_Cora,residential,cvrmse_10,hour_of_day,0.11304064840078354
BDG-2,Panther_lodging_Cora,residential,cvrmse_11,hour_of_day,0.11425293982028961
BDG-2,Panther_lodging_Cora,residential,cvrmse_12,hour_of_day,0.11978724598884583
BDG-2,Panther_lodging_Cora,residential,cvrmse_13,hour_of_day,0.1216437965631485
BDG-2,Panther_lodging_Cora,residential,cvrmse_14,hour_of_day,0.12205754965543747
BDG-2,Panther_lodging_Cora,residential,cvrmse_15,hour_of_day,0.12721063196659088
BDG-2,Panther_lodging_Cora,residential,cvrmse_16,hour_of_day,0.12484284490346909
BDG-2,Panther_lodging_Cora,residential,cvrmse_17,hour_of_day,0.13268817961215973
BDG-2,Panther_lodging_Cora,residential,cvrmse_18,hour_of_day,0.12344027310609818
BDG-2,Panther_lodging_Cora,residential,cvrmse_19,hour_of_day,0.12410210072994232
BDG-2,Panther_lodging_Cora,residential,cvrmse_20,hour_of_day,0.1263422966003418
BDG-2,Panther_lodging_Cora,residential,cvrmse_21,hour_of_day,0.11567459255456924
BDG-2,Panther_lodging_Cora,residential,cvrmse_22,hour_of_day,0.10186680406332016
BDG-2,Panther_lodging_Cora,residential,cvrmse_23,hour_of_day,0.10863669216632843
BDG-2,Panther_lodging_Cora,residential,nmbe_0,hour_of_day,0.09913824498653412
BDG-2,Panther_lodging_Cora,residential,nmbe_1,hour_of_day,0.09367174655199051
BDG-2,Panther_lodging_Cora,residential,nmbe_2,hour_of_day,0.09361974895000458
BDG-2,Panther_lodging_Cora,residential,nmbe_3,hour_of_day,0.09422390908002853
BDG-2,Panther_lodging_Cora,residential,nmbe_4,hour_of_day,0.08934265375137329
BDG-2,Panther_lodging_Cora,residential,nmbe_5,hour_of_day,0.09078620374202728
BDG-2,Panther_lodging_Cora,residential,nmbe_6,hour_of_day,0.08990880101919174
BDG-2,Panther_lodging_Cora,residential,nmbe_7,hour_of_day,0.09310563653707504
BDG-2,Panther_lodging_Cora,residential,nmbe_8,hour_of_day,0.09238933026790619
BDG-2,Panther_lodging_Cora,residential,nmbe_9,hour_of_day,0.09139686077833176
BDG-2,Panther_lodging_Cora,residential,nmbe_10,hour_of_day,0.09659887105226517
BDG-2,Panther_lodging_Cora,residential,nmbe_11,hour_of_day,0.09629352390766144
BDG-2,Panther_lodging_Cora,residential,nmbe_12,hour_of_day,0.09952947497367859
BDG-2,Panther_lodging_Cora,residential,nmbe_13,hour_of_day,0.1017923355102539
BDG-2,Panther_lodging_Cora,residential,nmbe_14,hour_of_day,0.10382366180419922
BDG-2,Panther_lodging_Cora,residential,nmbe_15,hour_of_day,0.10497143119573593
BDG-2,Panther_lodging_Cora,residential,nmbe_16,hour_of_day,0.09953084588050842
BDG-2,Panther_lodging_Cora,residential,nmbe_17,hour_of_day,0.1004309430718422
BDG-2,Panther_lodging_Cora,residential,nmbe_18,hour_of_day,0.09506257623434067
BDG-2,Panther_lodging_Cora,residential,nmbe_19,hour_of_day,0.0995112955570221
BDG-2,Panther_lodging_Cora,residential,nmbe_20,hour_of_day,0.0995538979768753
BDG-2,Panther_lodging_Cora,residential,nmbe_21,hour_of_day,0.08650778979063034
BDG-2,Panther_lodging_Cora,residential,nmbe_22,hour_of_day,0.07303652167320251
BDG-2,Panther_lodging_Cora,residential,nmbe_23,hour_of_day,0.0843682810664177
BDG-2,Panther_lodging_Cora,residential,nmae_0,hour_of_day,0.09913824498653412
BDG-2,Panther_lodging_Cora,residential,nmae_1,hour_of_day,0.09385183453559875
BDG-2,Panther_lodging_Cora,residential,nmae_2,hour_of_day,0.09436721354722977
BDG-2,Panther_lodging_Cora,residential,nmae_3,hour_of_day,0.09422390908002853
BDG-2,Panther_lodging_Cora,residential,nmae_4,hour_of_day,0.08939781785011292
BDG-2,Panther_lodging_Cora,residential,nmae_5,hour_of_day,0.09179864078760147
BDG-2,Panther_lodging_Cora,residential,nmae_6,hour_of_day,0.09097655862569809
BDG-2,Panther_lodging_Cora,residential,nmae_7,hour_of_day,0.09413512796163559
BDG-2,Panther_lodging_Cora,residential,nmae_8,hour_of_day,0.09404434263706207
BDG-2,Panther_lodging_Cora,residential,nmae_9,hour_of_day,0.0955602154135704
BDG-2,Panther_lodging_Cora,residential,nmae_10,hour_of_day,0.10062245279550552
BDG-2,Panther_lodging_Cora,residential,nmae_11,hour_of_day,0.10032758861780167
BDG-2,Panther_lodging_Cora,residential,nmae_12,hour_of_day,0.10647328197956085
BDG-2,Panther_lodging_Cora,residential,nmae_13,hour_of_day,0.1090664193034172
BDG-2,Panther_lodging_Cora,residential,nmae_14,hour_of_day,0.10989003628492355
BDG-2,Panther_lodging_Cora,residential,nmae_15,hour_of_day,0.11344124376773834
BDG-2,Panther_lodging_Cora,residential,nmae_16,hour_of_day,0.109685517847538
BDG-2,Panther_lodging_Cora,residential,nmae_17,hour_of_day,0.11216302216053009
BDG-2,Panther_lodging_Cora,residential,nmae_18,hour_of_day,0.10471685975790024
BDG-2,Panther_lodging_Cora,residential,nmae_19,hour_of_day,0.10840417444705963
BDG-2,Panther_lodging_Cora,residential,nmae_20,hour_of_day,0.10906235128641129
BDG-2,Panther_lodging_Cora,residential,nmae_21,hour_of_day,0.09750714898109436
BDG-2,Panther_lodging_Cora,residential,nmae_22,hour_of_day,0.08695301413536072
BDG-2,Panther_lodging_Cora,residential,nmae_23,hour_of_day,0.09466631710529327
BDG-2,Panther_office_Hannah,residential,cvrmse_0,hour_of_day,0.19063788652420044
BDG-2,Panther_office_Hannah,residential,cvrmse_1,hour_of_day,0.16857174038887024
BDG-2,Panther_office_Hannah,residential,cvrmse_2,hour_of_day,0.1667070984840393
BDG-2,Panther_office_Hannah,residential,cvrmse_3,hour_of_day,0.17797255516052246
BDG-2,Panther_office_Hannah,residential,cvrmse_4,hour_of_day,0.16111694276332855
BDG-2,Panther_office_Hannah,residential,cvrmse_5,hour_of_day,0.18029794096946716
BDG-2,Panther_office_Hannah,residential,cvrmse_6,hour_of_day,0.19187308847904205
BDG-2,Panther_office_Hannah,residential,cvrmse_7,hour_of_day,0.26951971650123596
BDG-2,Panther_office_Hannah,residential,cvrmse_8,hour_of_day,0.3150027394294739
BDG-2,Panther_office_Hannah,residential,cvrmse_9,hour_of_day,0.3345584571361542
BDG-2,Panther_office_Hannah,residential,cvrmse_10,hour_of_day,0.37015989422798157
BDG-2,Panther_office_Hannah,residential,cvrmse_11,hour_of_day,0.4044835567474365
BDG-2,Panther_office_Hannah,residential,cvrmse_12,hour_of_day,0.40657132863998413
BDG-2,Panther_office_Hannah,residential,cvrmse_13,hour_of_day,0.4403678774833679
BDG-2,Panther_office_Hannah,residential,cvrmse_14,hour_of_day,0.4819987416267395
BDG-2,Panther_office_Hannah,residential,cvrmse_15,hour_of_day,0.45756199955940247
BDG-2,Panther_office_Hannah,residential,cvrmse_16,hour_of_day,0.46511590480804443
BDG-2,Panther_office_Hannah,residential,cvrmse_17,hour_of_day,0.5463566184043884
BDG-2,Panther_office_Hannah,residential,cvrmse_18,hour_of_day,0.5692563056945801
BDG-2,Panther_office_Hannah,residential,cvrmse_19,hour_of_day,0.5276567935943604
BDG-2,Panther_office_Hannah,residential,cvrmse_20,hour_of_day,0.458507239818573
BDG-2,Panther_office_Hannah,residential,cvrmse_21,hour_of_day,0.3146432042121887
BDG-2,Panther_office_Hannah,residential,cvrmse_22,hour_of_day,0.2214558720588684
BDG-2,Panther_office_Hannah,residential,cvrmse_23,hour_of_day,0.2155183106660843
BDG-2,Panther_office_Hannah,residential,nmbe_0,hour_of_day,0.06248750537633896
BDG-2,Panther_office_Hannah,residential,nmbe_1,hour_of_day,0.05260365828871727
BDG-2,Panther_office_Hannah,residential,nmbe_2,hour_of_day,0.04026661813259125
BDG-2,Panther_office_Hannah,residential,nmbe_3,hour_of_day,0.05815812945365906
BDG-2,Panther_office_Hannah,residential,nmbe_4,hour_of_day,0.03414568677544594
BDG-2,Panther_office_Hannah,residential,nmbe_5,hour_of_day,0.06479144096374512
BDG-2,Panther_office_Hannah,residential,nmbe_6,hour_of_day,0.015827009454369545
BDG-2,Panther_office_Hannah,residential,nmbe_7,hour_of_day,-0.0577550046145916
BDG-2,Panther_office_Hannah,residential,nmbe_8,hour_of_day,-0.09646308422088623
BDG-2,Panther_office_Hannah,residential,nmbe_9,hour_of_day,-0.03960277885198593
BDG-2,Panther_office_Hannah,residential,nmbe_10,hour_of_day,-0.04541999474167824
BDG-2,Panther_office_Hannah,residential,nmbe_11,hour_of_day,0.0038116490468382835
BDG-2,Panther_office_Hannah,residential,nmbe_12,hour_of_day,-0.039098188281059265
BDG-2,Panther_office_Hannah,residential,nmbe_13,hour_of_day,-0.009092966094613075
BDG-2,Panther_office_Hannah,residential,nmbe_14,hour_of_day,-0.0027020710986107588
BDG-2,Panther_office_Hannah,residential,nmbe_15,hour_of_day,0.010030168108642101
BDG-2,Panther_office_Hannah,residential,nmbe_16,hour_of_day,0.014806253835558891
