dataset,building_id,building_type,metric,metric_type,value
sceaux,Sceaux,residential,cvrmse_0,hour_of_day,0.41920217871665955
sceaux,Sceaux,residential,cvrmse_1,hour_of_day,0.4080725908279419
sceaux,Sceaux,residential,cvrmse_2,hour_of_day,0.3612332046031952
sceaux,Sceaux,residential,cvrmse_3,hour_of_day,0.30620694160461426
sceaux,Sceaux,residential,cvrmse_4,hour_of_day,0.30766910314559937
sceaux,Sceaux,residential,cvrmse_5,hour_of_day,0.36326923966407776
sceaux,Sceaux,residential,cvrmse_6,hour_of_day,0.5594638586044312
sceaux,Sceaux,residential,cvrmse_7,hour_of_day,0.7328743934631348
sceaux,Sceaux,residential,cvrmse_8,hour_of_day,0.6472359895706177
sceaux,Sceaux,residential,cvrmse_9,hour_of_day,0.6790732741355896
sceaux,Sceaux,residential,cvrmse_10,hour_of_day,0.7565653324127197
sceaux,Sceaux,residential,cvrmse_11,hour_of_day,0.8456063866615295
sceaux,Sceaux,residential,cvrmse_12,hour_of_day,0.9284883737564087
sceaux,Sceaux,residential,cvrmse_13,hour_of_day,0.9329239726066589
sceaux,Sceaux,residential,cvrmse_14,hour_of_day,0.8588998317718506
sceaux,Sceaux,residential,cvrmse_15,hour_of_day,0.8018702268600464
sceaux,Sceaux,residential,cvrmse_16,hour_of_day,0.8358531594276428
sceaux,Sceaux,residential,cvrmse_17,hour_of_day,0.8191078901290894
sceaux,Sceaux,residential,cvrmse_18,hour_of_day,0.8147048950195312
sceaux,Sceaux,residential,cvrmse_19,hour_of_day,0.9954261779785156
sceaux,Sceaux,residential,cvrmse_20,hour_of_day,0.9388717412948608
sceaux,Sceaux,residential,cvrmse_21,hour_of_day,1.0103940963745117
sceaux,Sceaux,residential,cvrmse_22,hour_of_day,1.003414511680603
sceaux,Sceaux,residential,cvrmse_23,hour_of_day,0.8255181908607483
sceaux,Sceaux,residential,nmbe_0,hour_of_day,-0.03252965956926346
sceaux,Sceaux,residential,nmbe_1,hour_of_day,-0.1531974971294403
sceaux,Sceaux,residential,nmbe_2,hour_of_day,-0.1515868455171585
sceaux,Sceaux,residential,nmbe_3,hour_of_day,-0.16177424788475037
sceaux,Sceaux,residential,nmbe_4,hour_of_day,-0.1428142935037613
sceaux,Sceaux,residential,nmbe_5,hour_of_day,-0.2410789132118225
sceaux,Sceaux,residential,nmbe_6,hour_of_day,-0.2717958688735962
sceaux,Sceaux,residential,nmbe_7,hour_of_day,-0.21649578213691711
sceaux,Sceaux,residential,nmbe_8,hour_of_day,-0.037551406770944595
sceaux,Sceaux,residential,nmbe_9,hour_of_day,-0.18044506013393402
sceaux,Sceaux,residential,nmbe_10,hour_of_day,-0.14157463610172272
sceaux,Sceaux,residential,nmbe_11,hour_of_day,-0.05413823947310448
sceaux,Sceaux,residential,nmbe_12,hour_of_day,-0.07362467795610428
sceaux,Sceaux,residential,nmbe_13,hour_of_day,-0.12849588692188263
sceaux,Sceaux,residential,nmbe_14,hour_of_day,-0.19434373080730438
sceaux,Sceaux,residential,nmbe_15,hour_of_day,-0.21731725335121155
sceaux,Sceaux,residential,nmbe_16,hour_of_day,-0.2424333244562149
sceaux,Sceaux,residential,nmbe_17,hour_of_day,-0.2168794870376587
sceaux,Sceaux,residential,nmbe_18,hour_of_day,-0.20685680210590363
sceaux,Sceaux,residential,nmbe_19,hour_of_day,-0.2848717272281647
sceaux,Sceaux,residential,nmbe_20,hour_of_day,-0.19920401275157928
sceaux,Sceaux,residential,nmbe_21,hour_of_day,-0.23622819781303406
sceaux,Sceaux,residential,nmbe_22,hour_of_day,-0.33003532886505127
sceaux,Sceaux,residential,nmbe_23,hour_of_day,-0.2521144449710846
sceaux,Sceaux,residential,nmae_0,hour_of_day,0.2918277084827423
sceaux,Sceaux,residential,nmae_1,hour_of_day,0.2986925542354584
sceaux,Sceaux,residential,nmae_2,hour_of_day,0.2599673271179199
sceaux,Sceaux,residential,nmae_3,hour_of_day,0.2192203551530838
sceaux,Sceaux,residential,nmae_4,hour_of_day,0.2361001968383789
sceaux,Sceaux,residential,nmae_5,hour_of_day,0.3020189702510834
sceaux,Sceaux,residential,nmae_6,hour_of_day,0.4718492329120636
sceaux,Sceaux,residential,nmae_7,hour_of_day,0.6049700975418091
sceaux,Sceaux,residential,nmae_8,hour_of_day,0.5198237895965576
sceaux,Sceaux,residential,nmae_9,hour_of_day,0.5267625451087952
sceaux,Sceaux,residential,nmae_10,hour_of_day,0.579251766204834
sceaux,Sceaux,residential,nmae_11,hour_of_day,0.6638640761375427
sceaux,Sceaux,residential,nmae_12,hour_of_day,0.7309532761573792
sceaux,Sceaux,residential,nmae_13,hour_of_day,0.7356266975402832
sceaux,Sceaux,residential,nmae_14,hour_of_day,0.7038392424583435
sceaux,Sceaux,residential,nmae_15,hour_of_day,0.6330581903457642
sceaux,Sceaux,residential,nmae_16,hour_of_day,0.6815574169158936
sceaux,Sceaux,residential,nmae_17,hour_of_day,0.6607212424278259
sceaux,Sceaux,residential,nmae_18,hour_of_day,0.6475224494934082
sceaux,Sceaux,residential,nmae_19,hour_of_day,0.7841895818710327
sceaux,Sceaux,residential,nmae_20,hour_of_day,0.7465185523033142
sceaux,Sceaux,residential,nmae_21,hour_of_day,0.802291750907898
sceaux,Sceaux,residential,nmae_22,hour_of_day,0.8274379968643188
sceaux,Sceaux,residential,nmae_23,hour_of_day,0.664465606212616
borealis,home23,residential,cvrmse_0,hour_of_day,0.9511846303939819
borealis,home23,residential,cvrmse_1,hour_of_day,0.8301898241043091
borealis,home23,residential,cvrmse_2,hour_of_day,1.1224946975708008
borealis,home23,residential,cvrmse_3,hour_of_day,1.2706295251846313
borealis,home23,residential,cvrmse_4,hour_of_day,1.0126240253448486
