dataset,building,num_windows,smoothness_violation_mean_mean,smoothness_violation_mean_std,smoothness_violation_mean_median,smoothness_violation_mean_min,smoothness_violation_mean_max,smoothness_violation_max_mean,smoothness_violation_max_std,smoothness_violation_max_median,smoothness_violation_max_min,smoothness_violation_max_max,smoothness_violation_std_mean,smoothness_violation_std_std,smoothness_violation_std_median,smoothness_violation_std_min,smoothness_violation_std_max,max_gradient_mean,max_gradient_std,max_gradient_median,max_gradient_min,max_gradient_max,mean_gradient_mean,mean_gradient_std,mean_gradient_median,mean_gradient_min,mean_gradient_max,std_gradient_mean,std_gradient_std,std_gradient_median,std_gradient_min,std_gradient_max,gradient_violations_severe_mean,gradient_violations_severe_std,gradient_violations_severe_median,gradient_violations_severe_min,gradient_violations_severe_max,gradient_violations_moderate_mean,gradient_violations_moderate_std,gradient_violations_moderate_median,gradient_violations_moderate_min,gradient_violations_moderate_max,gradient_violation_rate_severe_mean,gradient_violation_rate_severe_std,gradient_violation_rate_severe_median,gradient_violation_rate_severe_min,gradient_violation_rate_severe_max,gradient_violation_rate_moderate_mean,gradient_violation_rate_moderate_std,gradient_violation_rate_moderate_median,gradient_violation_rate_moderate_min,gradient_violation_rate_moderate_max,negative_count_mean,negative_count_std,negative_count_median,negative_count_min,negative_count_max,negative_energy_total_mean,negative_energy_total_std,negative_energy_total_median,negative_energy_total_min,negative_energy_total_max,negative_fraction_mean,negative_fraction_std,negative_fraction_median,negative_fraction_min,negative_fraction_max,negative_max_magnitude_mean,negative_max_magnitude_std,negative_max_magnitude_median,negative_max_magnitude_min,negative_max_magnitude_max
sceaux,Sceaux,172,0.28467434220490123,0.059376217817153916,0.28346815367776756,0.11109416214150282,0.4331133708104666,0.9838075142115238,0.3264095384891315,0.9649539275087855,0.3317938076084308,1.8531283614119962,0.24827626624577645,0.07097017304356035,0.24741297824497158,0.07872187825605236,0.4319818346590722,0.7313606893724979,0.21834077957216722,0.6797931613988493,0.356008440164478,1.3671188864761972,0.21254035805129748,0.048725975383510436,0.20525624323060504,0.11131997564881714,0.36042826604175365,0.1902541342413771,0.05279994019143525,0.17998105960131683,0.08346988641010554,0.36823813973308317,2.2325581395348837,1.5527501379184745,2.0,0,7,5.680232558139535,2.179999987595576,6.0,1,13,0.09706774519716886,0.06751087556167279,0.08695652173913043,0.0,0.30434782608695654,0.24696663296258847,0.0947826081563294,0.2608695652173913,0.043478260869565216,0.5652173913043478,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
borealis,home23,32,0.05967124548967872,0.027649487089789482,0.05377374957019235,0.02379674078112639,0.1535902310413503,0.20080284434974632,0.12054285723153212,0.1610682345090774,0.055929300207903876,0.6146983407823514,0.05256003600555252,0.03079622413994553,0.042229825382947575,0.015736268011642067,0.16168419780443993,0.4394006856664256,0.19340555043871296,0.35507273283980806,0.17540464209275433,1.0973598205702535,0.11027058998813388,0.029668924039924754,0.11070290542193212,0.052621595139747936,0.19689196042354765,0.11029236625820098,0.0417882380295261,0.10521405584962663,0.04696459088932984,0.24352545040805113,0.4375,0.7473912964438374,0.0,0,3,1.71875,1.2050512177911776,2.0,0,5,0.019021739130434784,0.032495273758427715,0.0,0.0,0.13043478260869565,0.07472826086956522,0.05239353120831207,0.08695652173913043,0.0,0.21739130434782608,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
borealis,home21,56,0.10694229654533327,0.022558465608649342,0.1117599238164524,0.04897151000127422,0.14074014283407255,0.3302507299481076,0.11088499448194795,0.3106096294395314,0.14509186329199697,0.6664070905221506,0.08393322695296639,0.02322673818277235,0.0801871052118357,0.04599135375300114,0.1576364904191513,0.4258888322922753,0.09793842532647583,0.424694613580416,0.25537497269823145,0.7368296815212076,0.12881824758201013,0.019552023867758457,0.13059762480202197,0.08373636008058939,0.16633511857644928,0.1063635759315029,0.021526997709045433,0.10413058929227065,0.06648618265475749,0.1601876222745268,0.30357142857142855,0.5318311647084082,0.0,0,2,1.9285714285714286,1.2079667518062687,2.0,0,5,0.013198757763975154,0.02312309411775688,0.0,0.0,0.08695652173913043,0.08385093167701863,0.052520293556794294,0.08695652173913043,0.0,0.21739130434782608,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ideal,home65,172,0.14431548187161686,0.03193856831839066,0.14176188692529476,0.08155525285943238,0.24266927840553698,0.5398178827589354,0.19082718287572328,0.5168997269687523,0.19696647138327295,1.428023268691604,0.13299883819841712,0.040686860618756475,0.12428007890834955,0.05371618681613347,0.3186210500184244,0.8725286323138679,0.25079895894870347,0.860515554944949,0.39731945399840907,1.6547628829192746,0.232159161256335,0.03884552342008225,0.22922460355864427,0.13744604600299223,0.34811924835763763,0.21546839438012394,0.05541512988479432,0.20943499513857106,0.1093513076242815,0.4210142544010542,2.4186046511627906,1.4262091261825083,2.0,0,7,6.319767441860465,1.8034411401309198,6.0,2,12,0.10515672396359958,0.06200909244271775,0.08695652173913043,0.0,0.30434782608695654,0.27477249747219407,0.07841048435351826,0.2608695652173913,0.08695652173913043,0.5217391304347826,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ideal,home242,40,0.0836653184731929,0.013641699518315004,0.08402673938667934,0.04925084673194398,0.1084056015556376,0.3587142642763165,0.11225176102712296,0.35181860659157005,0.14106994408421936,0.58403990694819,0.08448551504063573,0.020733234922257874,0.08505796055815201,0.04308361149700004,0.12851347379410447,0.6091420208962592,0.16177552511993212,0.5892284814362339,0.2947445691104393,1.1459230342104505,0.15206940283251086,0.02594790727360567,0.14746815256700113,0.11500654458643196,0.21398667775111335,0.15231985190179081,0.03624123913635309,0.1505884252801205,0.07504939251990692,0.25335183244516085,1.25,0.8874119674649424,1.0,0,3,3.175,1.2427288521636568,3.0,0,6,0.05434782608695652,0.038583129020214886,0.043478260869565216,0.0,0.13043478260869565,0.13804347826086957,0.05403168922450681,0.13043478260869565,0.0,0.2608695652173913,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ideal,home200,87,0.32889346090039384,0.08186405666928702,0.3120026854830851,0.17953793870700008,0.5687972667847414,1.1493518466353465,0.364162425922037,1.0831473796242506,0.5321211198346804,2.327689100855902,0.29868893830638965,0.08976053573459972,0.28782989161938805,0.14394266208016068,0.705802822837824,0.9356423091087879,0.323326579506805,0.8444776746933662,0.4399718009791338,2.425495239194405,0.2816643421367261,0.07581471333763766,0.2701565121793491,0.14895763550826838,0.8171053416120876,0.2424085558543287,0.07572063902533852,0.22853985828978748,0.12000865120445488,0.6471591656138496,3.781609195402299,1.908392158043247,4.0,0,12,8.241379310344827,2.181244594849565,8.0,4,15,0.16441779110444774,0.08297357208883684,0.17391304347826086,0.0,0.5217391304347826,0.35832083958020994,0.0948367215151985,0.34782608695652173,0.17391304347826086,0.6521739130434783,0.034482758620689655,0.3197799481205414,0.0,0,3,0.0028103754166681843,0.026062349443300523,0.0,0.0,0.24450266125013204,0.0014367816091954023,0.013324164505022558,0.0,0.0,0.125,0.0017633872203422687,0.016352980341286828,0.0,0.0,0.15341468816977738
ideal,home121,172,0.11160991067825082,0.028424518171110896,0.11119732744654892,0.052614928879421125,0.18866756517307623,0.3841669075646484,0.18165142107530272,0.33304962467755567,0.16268405683188347,1.2244371301506451,0.09645858245677591,0.03852166576895383,0.08782027495740222,0.04413487023227569,0.26834876460535523,0.5730017367363662,0.4476727180593214,0.3842991345396305,0.17477048355121474,2.3929651794963758,0.15944584363226688,0.07468011606778709,0.12638713495259513,0.06583431251390459,0.37830761076657005,0.14758713312552138,0.11158736581027662,0.09676661106787185,0.04557614508036316,0.580759364213411,1.0,1.6530451111614841,0.0,0,7,2.738372093023256,2.8562729253937693,2.0,0,11,0.043478260869565216,0.07187152657223844,0.0,0.0,0.30434782608695654,0.11905965621840245,0.12418577936494649,0.08695652173913043,0.0,0.4782608695652174,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ideal,home207,80,0.08884716499795434,0.020662582907405885,0.08595950148760681,0.05515553187105482,0.1408202043315007,0.28743585764007745,0.09665107672482888,0.2710501891510305,0.14553727971352648,0.5672110538727151,0.07337061322316626,0.020696177728083978,0.07131976507829207,0.03899496588561673,0.12712317314602095,0.6623145205259652,0.19410779475830167,0.6217680358115905,0.3081592762556496,1.1025435691812282,0.19730606682536705,0.03489617328860657,0.19863933088522442,0.11128416223854017,0.2848825855170227,0.1674643215439855,0.041833055449317195,0.1625643118923053,0.08547962077999255,0.26384014355271257,1.4625,1.0948030644823752,1.0,0,4,4.9375,1.7200563217522848,5.0,1,9,0.06358695652173914,0.047600133238364144,0.043478260869565216,0.0,0.17391304347826086,0.21467391304347827,0.07478505746749065,0.21739130434782608,0.043478260869565216,0.391304347826087,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ideal,home188,110,0.0878104138519683,0.023444875372402554,0.08462013960759601,0.03986977735438979,0.1539473680715309,0.3359266836959243,0.12439840224085606,0.32465134211217717,0.1367519408216637,0.6848377912413034,0.08560280059473382,0.029316978500344388,0.08107014142644886,0.03461676196758444,0.1731263079533792,0.9148900289569426,0.2549431105362949,0.8981049614996581,0.3526792182923642,1.5116574412487631,0.26518203907486376,0.04881692775150848,0.26381680180562034,0.12915772679550075,0.3970835540402895,0.24796311316283795,0.06203501317169808,0.247303416095561,0.09946564633943912,0.39279288830209247,3.9909090909090907,1.7554872648897464,4.0,0,9,7.7727272727272725,2.117713565098371,8.0,1,12,0.17351778656126482,0.07632553325607591,0.17391304347826086,0.0,0.391304347826087,0.3379446640316206,0.09207450283036396,0.34782608695652173,0.043478260869565216,0.5217391304347826,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ideal,home92,172,0.08130057752797414,0.019186827865116,0.07960500425633717,0.043006328058313885,0.1392409388228334,0.25222412109540043,0.08548945744201697,0.243288815855451,0.11433099296194207,0.551278214430925,0.0652113499536804,0.019946821845922173,0.06389097467109042,0.027022393103794666,0.12887914309390408,0.719746471319273,0.26061245711095127,0.6949115914889694,0.24352669764119875,1.6238243028615424,0.20458300248559552,0.04423768054009652,0.20756623839882835,0.10183360966480395,0.3506017877120703,0.17589341411229797,0.05447388618116557,0.16962894534721218,0.06907321821872266,0.3383982171013899,1.6395348837209303,1.3632450230861555,1.0,0,6,4.97093023255814,2.0809974285082826,5.0,0,11,0.07128412537917088,0.05927152274287632,0.043478260869565216,0.0,0.2608695652173913,0.21612740141557127,0.09047814906557751,0.21739130434782608,0.0,0.4782608695652174,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
