dataset,building_id,building_type,metric,metric_type,value
sceaux,Sceaux,residential,cvrmse_0,hour_of_day,0.43413233757019043
sceaux,Sceaux,residential,cvrmse_1,hour_of_day,0.3748665750026703
sceaux,Sceaux,residential,cvrmse_2,hour_of_day,0.3399706482887268
sceaux,Sceaux,residential,cvrmse_3,hour_of_day,0.2776336669921875
sceaux,Sceaux,residential,cvrmse_4,hour_of_day,0.3025115430355072
sceaux,Sceaux,residential,cvrmse_5,hour_of_day,0.2673613131046295
sceaux,Sceaux,residential,cvrmse_6,hour_of_day,0.5001423358917236
sceaux,Sceaux,residential,cvrmse_7,hour_of_day,0.7206300497055054
sceaux,Sceaux,residential,cvrmse_8,hour_of_day,0.6842817664146423
sceaux,Sceaux,residential,cvrmse_9,hour_of_day,0.6729369759559631
sceaux,Sceaux,residential,cvrmse_10,hour_of_day,0.7206667065620422
sceaux,Sceaux,residential,cvrmse_11,hour_of_day,0.8273560404777527
sceaux,Sceaux,residential,cvrmse_12,hour_of_day,0.8957962393760681
sceaux,Sceaux,residential,cvrmse_13,hour_of_day,0.9202699661254883
sceaux,Sceaux,residential,cvrmse_14,hour_of_day,0.839266836643219
sceaux,Sceaux,residential,cvrmse_15,hour_of_day,0.7544363737106323
sceaux,Sceaux,residential,cvrmse_16,hour_of_day,0.7843965888023376
sceaux,Sceaux,residential,cvrmse_17,hour_of_day,0.7895214557647705
sceaux,Sceaux,residential,cvrmse_18,hour_of_day,0.7906762957572937
sceaux,Sceaux,residential,cvrmse_19,hour_of_day,0.9092957973480225
sceaux,Sceaux,residential,cvrmse_20,hour_of_day,0.9255292415618896
sceaux,Sceaux,residential,cvrmse_21,hour_of_day,0.9795889854431152
sceaux,Sceaux,residential,cvrmse_22,hour_of_day,0.935300350189209
sceaux,Sceaux,residential,cvrmse_23,hour_of_day,0.8043418526649475
sceaux,Sceaux,residential,nmbe_0,hour_of_day,0.12900115549564362
sceaux,Sceaux,residential,nmbe_1,hour_of_day,0.03841830790042877
sceaux,Sceaux,residential,nmbe_2,hour_of_day,0.03787836804986
sceaux,Sceaux,residential,nmbe_3,hour_of_day,0.04914270341396332
sceaux,Sceaux,residential,nmbe_4,hour_of_day,0.09787638485431671
sceaux,Sceaux,residential,nmbe_5,hour_of_day,0.030990393832325935
sceaux,Sceaux,residential,nmbe_6,hour_of_day,-0.022266341373324394
sceaux,Sceaux,residential,nmbe_7,hour_of_day,0.016999049112200737
sceaux,Sceaux,residential,nmbe_8,hour_of_day,0.13379153609275818
sceaux,Sceaux,residential,nmbe_9,hour_of_day,0.0004126514249946922
sceaux,Sceaux,residential,nmbe_10,hour_of_day,0.03717949986457825
sceaux,Sceaux,residential,nmbe_11,hour_of_day,0.13497772812843323
sceaux,Sceaux,residential,nmbe_12,hour_of_day,0.1352563202381134
sceaux,Sceaux,residential,nmbe_13,hour_of_day,0.09208505600690842
sceaux,Sceaux,residential,nmbe_14,hour_of_day,0.05829764902591705
sceaux,Sceaux,residential,nmbe_15,hour_of_day,0.02198045514523983
sceaux,Sceaux,residential,nmbe_16,hour_of_day,-0.019092286005616188
sceaux,Sceaux,residential,nmbe_17,hour_of_day,0.0006809098413214087
sceaux,Sceaux,residential,nmbe_18,hour_of_day,-0.0019855869468301535
sceaux,Sceaux,residential,nmbe_19,hour_of_day,-0.04933811351656914
sceaux,Sceaux,residential,nmbe_20,hour_of_day,0.014077533967792988
sceaux,Sceaux,residential,nmbe_21,hour_of_day,-0.004467593971639872
sceaux,Sceaux,residential,nmbe_22,hour_of_day,-0.0747065320611
sceaux,Sceaux,residential,nmbe_23,hour_of_day,0.027630282565951347
sceaux,Sceaux,residential,nmae_0,hour_of_day,0.28471094369888306
sceaux,Sceaux,residential,nmae_1,hour_of_day,0.2439671903848648
sceaux,Sceaux,residential,nmae_2,hour_of_day,0.22533759474754333
sceaux,Sceaux,residential,nmae_3,hour_of_day,0.1820792704820633
sceaux,Sceaux,residential,nmae_4,hour_of_day,0.20185038447380066
sceaux,Sceaux,residential,nmae_5,hour_of_day,0.19519387185573578
sceaux,Sceaux,residential,nmae_6,hour_of_day,0.3808635473251343
