dataset,building,num_windows,smoothness_violation_mean_mean,smoothness_violation_mean_std,smoothness_violation_mean_median,smoothness_violation_mean_min,smoothness_violation_mean_max,smoothness_violation_max_mean,smoothness_violation_max_std,smoothness_violation_max_median,smoothness_violation_max_min,smoothness_violation_max_max,smoothness_violation_std_mean,smoothness_violation_std_std,smoothness_violation_std_median,smoothness_violation_std_min,smoothness_violation_std_max,max_gradient_mean,max_gradient_std,max_gradient_median,max_gradient_min,max_gradient_max,mean_gradient_mean,mean_gradient_std,mean_gradient_median,mean_gradient_min,mean_gradient_max,std_gradient_mean,std_gradient_std,std_gradient_median,std_gradient_min,std_gradient_max,gradient_violations_severe_mean,gradient_violations_severe_std,gradient_violations_severe_median,gradient_violations_severe_min,gradient_violations_severe_max,gradient_violations_moderate_mean,gradient_violations_moderate_std,gradient_violations_moderate_median,gradient_violations_moderate_min,gradient_violations_moderate_max,gradient_violation_rate_severe_mean,gradient_violation_rate_severe_std,gradient_violation_rate_severe_median,gradient_violation_rate_severe_min,gradient_violation_rate_severe_max,gradient_violation_rate_moderate_mean,gradient_violation_rate_moderate_std,gradient_violation_rate_moderate_median,gradient_violation_rate_moderate_min,gradient_violation_rate_moderate_max,negative_count_mean,negative_count_std,negative_count_median,negative_count_min,negative_count_max,negative_energy_total_mean,negative_energy_total_std,negative_energy_total_median,negative_energy_total_min,negative_energy_total_max,negative_fraction_mean,negative_fraction_std,negative_fraction_median,negative_fraction_min,negative_fraction_max,negative_max_magnitude_mean,negative_max_magnitude_std,negative_max_magnitude_median,negative_max_magnitude_min,negative_max_magnitude_max
sceaux,Sceaux,172,0.28359141025147694,0.06156027762878419,0.28150547268839343,0.12693719935376696,0.4775018300650139,0.9463722790345165,0.34862085169642554,0.8842079284362037,0.3709925298092185,2.296475756971054,0.2425545470243013,0.07762259585159857,0.23354946926454942,0.09693011724083846,0.47209452102733657,0.9119715067937024,0.32359681734568474,0.8489931804148187,0.39902974346375397,2.1570718375970017,0.270271144184133,0.07190790865960414,0.2619382575925968,0.142580679547506,0.4789479647702216,0.2406980771606791,0.0766781716100956,0.22399662932138498,0.10437872749957751,0.49035471219650667,3.7209302325581395,2.1056466873330604,4.0,0,11,7.674418604651163,2.553801819199542,7.5,2,15,0.16177957532861476,0.09154985597100262,0.17391304347826086,0.0,0.4782608695652174,0.3336703741152679,0.11103486170432791,0.32608695652173914,0.08695652173913043,0.6521739130434783,0.09883720930232558,0.4128725762228137,0.0,0,3,0.0037443033128775694,0.017295340885171574,0.0,0.0,0.12279077578243242,0.004118217054263565,0.017203024009283908,0.0,0.0,0.125,0.003005707395019881,0.013487987454566025,0.0,0.0,0.09872034173698421
borealis,home23,32,0.06245591254904462,0.03200058409166379,0.051310463901192746,0.026910378146964672,0.15931611156819792,0.2026936234742624,0.12909136896532342,0.15231393005931013,0.08717390507012862,0.6171590230471912,0.051872641991842806,0.03209300565893941,0.040417994711732116,0.023187818168861965,0.16458449120792762,0.4453435201872751,0.15574501958990353,0.40164680857933277,0.19686669459980682,0.9653964005424233,0.11919993273951786,0.030797128039238994,0.11580222688827493,0.06620740992307163,0.21325168480608972,0.11314759302024857,0.03769668985193671,0.10436042816718595,0.05597862831214731,0.258118739046958,0.4375,0.7880950133074057,0.0,0,4,2.0,1.4142135623730951,2.0,0,6,0.019021739130434784,0.03426500057858286,0.0,0.0,0.17391304347826086,0.08695652173913043,0.061487546190134565,0.08695652173913043,0.0,0.2608695652173913,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
borealis,home21,56,0.10541539671144537,0.022993017698256676,0.10293441651500264,0.04120796181894666,0.15885626373684353,0.3183585312306579,0.09829194099802593,0.2960016387557641,0.10705905208761424,0.5613686612636006,0.08155295218556234,0.02252152981792408,0.07681035545814704,0.028403080250783443,0.15121071261256674,0.4597015958912052,0.09315414567951207,0.4416604763121885,0.2908491534910034,0.7259566688629853,0.14199704207002042,0.023009518754237134,0.1418829946833337,0.07726673326165752,0.20133551159326216,0.11720479516509796,0.021680099024023437,0.1171135490091347,0.060386238224309795,0.16295211867862755,0.39285714285714285,0.5567306167185677,0.0,0,2,2.75,1.4423443218791907,3.0,0,8,0.017080745341614904,0.024205678987763813,0.0,0.0,0.08695652173913043,0.11956521739130434,0.0627106226903996,0.13043478260869565,0.0,0.34782608695652173,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ideal,home65,172,0.14526146694422923,0.03296257748464802,0.14482476138200256,0.07459830197904675,0.24356908222732357,0.5341328944216818,0.20529375640389527,0.5093098732142693,0.20407137204518544,1.507488169407351,0.1318764617714288,0.04525304238906273,0.12518259752827388,0.05453619701805458,0.3367179126678158,1.0092955709486826,0.33404506782527293,0.9501417823893188,0.4670788227763835,2.2865977180156714,0.26519176515657306,0.050132363557522104,0.26316341160272555,0.15893728705175353,0.48282625953223385,0.2472390183442532,0.06983737801864473,0.2366473388038024,0.12510656302349232,0.5906882242781085,3.203488372093023,1.6064512148455505,3.0,0,9,7.546511627906977,1.9389338759860242,8.0,3,12,0.13928210313447928,0.06984570499328481,0.13043478260869565,0.0,0.391304347826087,0.32810920121334686,0.08430147286895757,0.34782608695652173,0.13043478260869565,0.5217391304347826,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ideal,home242,40,0.0858036373132097,0.015585221789121199,0.08699788440119724,0.05734900125395386,0.1139391402143543,0.34401266985714773,0.11255771306629399,0.3230325406966778,0.17792731278238683,0.6247265268451462,0.08394335309346466,0.02309081674619442,0.08529822757795089,0.04450106152707565,0.1407579869799528,0.7679532973079037,0.25868351545551593,0.7484810187850943,0.3698868074532273,1.6696160276609342,0.18354260614872855,0.033417339606865014,0.17712528163499885,0.11080752327023444,0.28834409931686006,0.1886115400600042,0.05314756887545602,0.18769960637155977,0.09915038931710425,0.34419666825358347,1.875,1.0997158723961387,2.0,0,5,4.3,1.4177446878757827,4.0,2,8,0.08152173913043477,0.04781373358244081,0.08695652173913043,0.0,0.21739130434782608,0.1869565217391304,0.061641073385903584,0.17391304347826086,0.08695652173913043,0.34782608695652173,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ideal,home200,87,0.33708787162964104,0.08541962153328109,0.3351395173665012,0.12710899362488978,0.5762510358768709,1.0951681323843792,0.3898883889940357,1.0328074984649596,0.3200399591601284,2.2845684928733894,0.28692625992254067,0.0905739006136081,0.270582615645909,0.09478433226419432,0.5793208628010807,1.0993934238366447,0.3392060697383354,1.0175250943179348,0.39124081351183565,2.10742590274352,0.35132512724747933,0.07465914915175302,0.34900864724087005,0.19733646763860957,0.5583089385536937,0.2888298745084958,0.07803210764588674,0.26824826068228774,0.12323261738579477,0.507214966409426,5.64367816091954,2.2943058524737867,6.0,0,10,10.701149425287356,2.4500290522731416,11.0,6,17,0.24537731134432786,0.0997524283684255,0.2608695652173913,0.0,0.43478260869565216,0.4652673663168415,0.10652300227274528,0.4782608695652174,0.2608695652173913,0.7391304347826086,0.632183908045977,1.7161500786978428,0.0,0,14,0.03410527117860806,0.12175030356148572,0.0,0.0,1.02844321087866,0.026340996168582372,0.07150625327907682,0.0,0.0,0.5833333333333334,0.018073733666910202,0.04214721321373931,0.0,0.0,0.26307678032634746
ideal,home121,172,0.11689213174631477,0.03117909639530739,0.11470235470937715,0.05762156597916937,0.2780926403596697,0.38856678825352187,0.16042942104219868,0.34527376856338615,0.1458654924073885,1.019971601170035,0.0978801160742001,0.03390404202580213,0.09174085718014127,0.044523060484114786,0.22018812951345607,0.6418193835620513,0.4843485434558707,0.3965839584504416,0.15514487524569132,2.4901368168136226,0.18066174160464898,0.09247148781214921,0.13879138184768577,0.07891678532804138,0.5049428365755485,0.1656314899984938,0.12121023541600123,0.1052442815829362,0.04696527025164416,0.5917533945849417,1.372093023255814,2.1023050009282835,0.0,0,8,3.4767441860465116,3.275088297002674,2.0,0,12,0.0596562184024267,0.09140456525775144,0.0,0.0,0.34782608695652173,0.1511627906976744,0.14239514334794232,0.08695652173913043,0.0,0.5217391304347826,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ideal,home207,80,0.13074588652314775,0.04860035818677128,0.12318122231461018,0.048304791324800415,0.2620778359523204,0.37810220819187323,0.15052810593746813,0.3530348606126779,0.14925454836823848,0.8105704113589394,0.09691260961247398,0.036703383007351854,0.09051731558513873,0.039762088349557544,0.18090507394114538,0.9015765494389771,0.2801869262849178,0.8731175911889428,0.38570459035267446,1.6454418886501219,0.2981732906190416,0.08114679357928022,0.28921702752039513,0.1513091352604256,0.5046613662768232,0.2271176659776418,0.06553389097829847,0.21725165068171076,0.09034685051360594,0.40491592456152503,3.9625,2.3897894781758495,3.0,0,11,8.8625,3.426892725195815,9.0,1,18,0.17228260869565218,0.10390389035547173,0.13043478260869565,0.0,0.4782608695652174,0.3853260869565217,0.14899533587807892,0.391304347826087,0.043478260869565216,0.782608695652174,0.2375,0.6173279112432873,0.0,0,4,0.00960847657339971,0.031074920292225763,0.0,0.0,0.21428300148271143,0.009895833333333333,0.025721996301803635,0.0,0.0,0.16666666666666666,0.008640000214422799,0.026408260006283255,0.0,0.0,0.15419186151991365
ideal,home188,110,0.08883739297672101,0.022209902419536912,0.08379216557299678,0.04491029084375934,0.15867744448974094,0.3305134997038259,0.12233575698949566,0.30522227512310957,0.10430184749421895,0.6823544035099482,0.08395381182271912,0.028111833690404063,0.08064035745137388,0.02645605068898025,0.1662245338078735,0.8756249527055401,0.25587064814620175,0.8423376511695013,0.218077362985762,1.573947725944193,0.25490542371360314,0.046666292166825815,0.2537962631146112,0.10772389365506731,0.37635620668006486,0.23438397746280207,0.05675611740614021,0.23601448768785002,0.07592291716300523,0.391166755181309,3.5727272727272728,1.6037404625045726,4.0,0,7,7.472727272727273,2.03473961215095,8.0,0,12,0.15533596837944666,0.06972784619585098,0.17391304347826086,0.0,0.30434782608695654,0.32490118577075094,0.08846693965873695,0.34782608695652173,0.0,0.5217391304347826,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ideal,home92,172,0.0922667199835958,0.06415684280233284,0.0820527039666913,0.045918170450145526,0.6376986918018782,0.2748817645858104,0.15285892427499817,0.24278954415364734,0.12143771188765795,1.4050227063026133,0.07193149487698465,0.04271686571333141,0.06495728402672658,0.03133745921664716,0.40529014004747227,0.6268536760345762,0.26719452516509756,0.5762053990790224,0.24586160869410073,2.2867224636820764,0.18490077889349515,0.07933843760790793,0.17342816821127513,0.09255270513559698,0.8846184043226784,0.15533026432441233,0.06250026915981739,0.14439852338475098,0.06809121211971957,0.6141809056123092,1.2383720930232558,1.9458165383924733,1.0,0,14,4.1104651162790695,2.6577017991931093,4.0,0,18,0.0538422649140546,0.0846007190605423,0.043478260869565216,0.0,0.6086956521739131,0.1787158746208291,0.11555225213883083,0.17391304347826086,0.0,0.782608695652174,0.023255813953488372,0.1853183424477817,0.0,0,2,0.002201546471564528,0.02613416115577452,0.0,0.0,0.342598172888923,0.0009689922480620155,0.007721597601990904,0.0,0.0,0.08333333333333333,0.00168618209015818,0.019430786445860496,0.0,0.0,0.2539554992870312
