dataset,building,num_windows,smoothness_violation_mean_mean,smoothness_violation_mean_std,smoothness_violation_mean_median,smoothness_violation_mean_min,smoothness_violation_mean_max,smoothness_violation_max_mean,smoothness_violation_max_std,smoothness_violation_max_median,smoothness_violation_max_min,smoothness_violation_max_max,smoothness_violation_std_mean,smoothness_violation_std_std,smoothness_violation_std_median,smoothness_violation_std_min,smoothness_violation_std_max,max_gradient_mean,max_gradient_std,max_gradient_median,max_gradient_min,max_gradient_max,mean_gradient_mean,mean_gradient_std,mean_gradient_median,mean_gradient_min,mean_gradient_max,std_gradient_mean,std_gradient_std,std_gradient_median,std_gradient_min,std_gradient_max,gradient_violations_severe_mean,gradient_violations_severe_std,gradient_violations_severe_median,gradient_violations_severe_min,gradient_violations_severe_max,gradient_violations_moderate_mean,gradient_violations_moderate_std,gradient_violations_moderate_median,gradient_violations_moderate_min,gradient_violations_moderate_max,gradient_violation_rate_severe_mean,gradient_violation_rate_severe_std,gradient_violation_rate_severe_median,gradient_violation_rate_severe_min,gradient_violation_rate_severe_max,gradient_violation_rate_moderate_mean,gradient_violation_rate_moderate_std,gradient_violation_rate_moderate_median,gradient_violation_rate_moderate_min,gradient_violation_rate_moderate_max,negative_count_mean,negative_count_std,negative_count_median,negative_count_min,negative_count_max,negative_energy_total_mean,negative_energy_total_std,negative_energy_total_median,negative_energy_total_min,negative_energy_total_max,negative_fraction_mean,negative_fraction_std,negative_fraction_median,negative_fraction_min,negative_fraction_max,negative_max_magnitude_mean,negative_max_magnitude_std,negative_max_magnitude_median,negative_max_magnitude_min,negative_max_magnitude_max
sceaux,Sceaux,172,0.28257735504231574,0.06095448505074967,0.2800215225254617,0.13625715094222424,0.4799990662247287,0.9483924657682931,0.3504983603521096,0.8858873533798421,0.38332622590094867,2.289092604128532,0.242985551051876,0.07757317967291184,0.2318043628473329,0.09947427743393004,0.4709038221256461,0.7199377821185395,0.23926928589574514,0.6646493622662096,0.3299407118321324,1.615940724359729,0.21232561961705318,0.05002341306321768,0.20565363672100023,0.12251425544283483,0.37256284402697537,0.19013241509068565,0.05703227136960847,0.18087502575626868,0.08397238094589574,0.36807976322340785,2.203488372093023,1.6315884452017777,2.0,0,7,5.738372093023256,2.2788547003413164,6.0,1,12,0.09580384226491404,0.0709386280522512,0.08695652173913043,0.0,0.30434782608695654,0.24949443882709807,0.09908063914527464,0.2608695652173913,0.043478260869565216,0.5217391304347826,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
borealis,home23,32,0.058446075512819315,0.030618345452806846,0.04935922004594062,0.02504128913689704,0.1615334491603454,0.19552905689263916,0.12556704655740336,0.15447882598034118,0.0640788149096812,0.5885366174436631,0.05047012862715474,0.031652864153250374,0.04191920039554126,0.01604853893595591,0.164178380462384,0.4202684034362553,0.15044408018784403,0.37770846090182025,0.1967976814000398,0.9415979162127646,0.10908273999313993,0.029899612443112202,0.10670148787917827,0.05926263986202089,0.20888131018141334,0.10595988518025574,0.03663440248594307,0.0987778154204029,0.05564642605211659,0.25411442506858145,0.375,0.7806247497997998,0.0,0,4,1.5625,1.197327753791751,1.0,0,6,0.016304347826086956,0.033940206513034775,0.0,0.0,0.17391304347826086,0.06793478260869565,0.052057728425728304,0.043478260869565216,0.0,0.2608695652173913,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
borealis,home21,56,0.0999061258995798,0.02382014284250457,0.10212190579458764,0.030217356482135967,0.1569956910611846,0.2987182056045614,0.09688566743263367,0.27119214370732136,0.13063940206939906,0.5523685889334216,0.07678619651918436,0.02267515834779185,0.07180211059536896,0.029895412123206972,0.143381081252217,0.41094862568373697,0.09523260156851976,0.4102979238047134,0.21883950378029793,0.6984795142489393,0.12708256445293079,0.022891382243540263,0.12939235722200837,0.05113010360582717,0.17827061228938018,0.10563379176400534,0.02099948524967838,0.10624521903196579,0.05636476292871109,0.14946730360751376,0.16071428571428573,0.36726721073577023,0.0,0,1,2.1964285714285716,1.1713795721459448,2.0,0,5,0.006987577639751552,0.0159681395972074,0.0,0.0,0.043478260869565216,0.09549689440993789,0.05092954661504107,0.08695652173913043,0.0,0.21739130434782608,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ideal,home65,172,0.1449635077167841,0.03285678838772901,0.14440874838385603,0.0758118875684636,0.24210394731529827,0.5393601870729726,0.20580791533337725,0.5214674177079446,0.2061921760868095,1.5060402235741448,0.13226601937857796,0.04518724574723529,0.125954935486096,0.05559931152800776,0.3391470873825995,0.8894656032388376,0.2828521803991291,0.8520583418086679,0.38609400688135587,1.8641583455840949,0.22826706913051048,0.04112755295584674,0.22626518533233297,0.1354401245385283,0.4002225916300481,0.21594945943882643,0.057894986020291236,0.2091529088123051,0.11083249778119318,0.48166826243289096,2.4302325581395348,1.4630383936402862,2.0,0,9,6.063953488372093,1.8650651706736483,6.0,2,12,0.1056622851365015,0.06361036494088201,0.08695652173913043,0.0,0.391304347826087,0.2636501516683518,0.08108979002928905,0.2608695652173913,0.08695652173913043,0.5217391304347826,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ideal,home242,40,0.08579265246306962,0.01579253353594359,0.0872778061777985,0.05699326191698504,0.11429393836519579,0.34449579158008437,0.11260891121954077,0.32337661595922434,0.17814698570070653,0.6249461997634659,0.08406710430893323,0.02298391245241225,0.08524993439840114,0.044500684687874006,0.14006024010466858,0.6531610587989439,0.2080218842531698,0.6332844253262689,0.3225450465148434,1.3860312524542289,0.15651715012035194,0.025454006089359105,0.15361889910795218,0.10064727113417873,0.23507548103569303,0.15983473623507996,0.04136287148589513,0.15993125078404186,0.0914755170137138,0.2762895033420928,1.25,0.8874119674649424,1.0,0,3,3.4,1.1789826122551597,3.0,1,7,0.05434782608695652,0.038583129020214886,0.043478260869565216,0.0,0.13043478260869565,0.14782608695652172,0.051260113576311286,0.13043478260869565,0.043478260869565216,0.30434782608695654,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ideal,home200,87,0.3242704431410971,0.08039716668272996,0.32145171160622055,0.11790157405878593,0.6006467260649596,1.0947206434944485,0.3848342372940992,0.9979978207731968,0.3033070223922023,2.249699179633338,0.288939619959246,0.090775652331425,0.2733322760111794,0.08381581571599366,0.5621392369558424,0.8837295760107803,0.22893825874067394,0.8511725451134647,0.3528308820004414,1.5701836565964045,0.27873343171669324,0.04590094464866274,0.2781004723138987,0.1667455211080714,0.4032841614009984,0.23032026073967538,0.053092372932641727,0.22276421135335828,0.11006111888749907,0.3640229713204125,3.839080459770115,1.8561705927495709,4.0,0,8,8.505747126436782,2.105676854722664,9.0,3,14,0.16691654172913545,0.08070306924998137,0.17391304347826086,0.0,0.34782608695652173,0.36981509245377314,0.09155116759663756,0.391304347826087,0.13043478260869565,0.6086956521739131,0.011494252873563218,0.10659331604018046,0.0,0,1,0.00012184466032287688,0.0011299408955476227,0.0,0.0,0.010600485448090289,0.0004789272030651341,0.004441388168340854,0.0,0.0,0.041666666666666664,0.00012184466032287688,0.0011299408955476227,0.0,0.0,0.010600485448090289
ideal,home121,172,0.11469616332940419,0.027200553453919158,0.11479573203964538,0.05813337289127569,0.20635511312342966,0.38549285234791547,0.16053259161600925,0.34405073877785536,0.1453769541123579,1.0206473874566275,0.09650790024122001,0.03308844138185707,0.0904787072568421,0.045178748785624334,0.22029358961672874,0.5678379583331692,0.3952690455395111,0.3819937325635142,0.15791170674634455,2.0919687294362634,0.1603479403301155,0.07319821141296347,0.12887582812528744,0.07338779329174919,0.4243638546808569,0.14585348586161562,0.0986198064676561,0.09815280539300322,0.04379558115781375,0.48525021085770786,1.0348837209302326,1.6242900017346016,0.0,0,6,2.755813953488372,2.7489365661026923,2.0,0,10,0.04499494438827098,0.07062130442324353,0.0,0.0,0.2608695652173913,0.11981799797775532,0.11951898113489967,0.08695652173913043,0.0,0.43478260869565216,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ideal,home207,80,0.08546088003644212,0.02376554823730265,0.08459444021452085,0.03921689848654823,0.15939350741911523,0.27819346501516706,0.10342080399161921,0.26450314871950986,0.11192430752078852,0.6834815218793024,0.06950926079677804,0.022683356448985642,0.06670899264623209,0.032396963930279646,0.1441003521808322,0.6264061678679491,0.1787430198281774,0.5973040903439495,0.2848813159086644,1.1334074793831221,0.1911522819833853,0.033482538205080896,0.1904385990819949,0.12370451882492468,0.281743100710568,0.15725756408085234,0.040568493553684665,0.1564111221563927,0.07928912613787904,0.27979989148831713,1.5,1.08397416943394,1.0,0,4,4.3875,1.939676197204059,4.5,0,10,0.06521739130434782,0.047129311714519125,0.043478260869565216,0.0,0.17391304347826086,0.19076086956521737,0.0843337477045243,0.19565217391304346,0.0,0.43478260869565216,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ideal,home188,110,0.08839609031178994,0.022098483753415794,0.08361637512206466,0.04398656858101107,0.15717404608062766,0.3293405787679534,0.12285164694454216,0.29968667523272974,0.10512905379292786,0.6843164356790519,0.08372961869883297,0.028132977610177065,0.07934578203557527,0.02661915393179745,0.16601935177560379,0.9166904616934738,0.26500631588832985,0.873506502387212,0.2644774482324752,1.647812000755357,0.2644638860207083,0.04775440245249456,0.26498821929210664,0.1177767873168614,0.38849275041972514,0.2459131490235964,0.058985567630767975,0.2457428398238874,0.08128895248133777,0.4116701593601914,3.8545454545454545,1.6450275689116394,4.0,0,7,7.763636363636364,2.026763083105996,8.0,0,13,0.16758893280632414,0.07152293777876695,0.17391304347826086,0.0,0.30434782608695654,0.33754940711462444,0.08812013404808677,0.34782608695652173,0.0,0.5652173913043478,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ideal,home92,172,0.0803569076896353,0.018945616932941955,0.07818599440759466,0.04469757995433204,0.14435298325752224,0.25140029803443276,0.08863593509910465,0.2354570860077603,0.11349632189639502,0.6583713592210261,0.06508229208099496,0.020480585722516674,0.06296227474200264,0.030723376817995442,0.14952888180068608,0.7195310513718425,0.27420202162219387,0.6688995458275343,0.3128516588362007,1.814502780100621,0.2033048665921319,0.042638804153495274,0.20369631845743527,0.10754287627504185,0.36690603048268,0.17620241067728293,0.055865234704767563,0.16832326418419097,0.08303074781280824,0.37755472236761656,1.5872093023255813,1.2660409368843313,1.0,0,6,5.087209302325581,2.123637539236157,5.0,1,12,0.06900910010111223,0.0550452581254057,0.043478260869565216,0.0,0.2608695652173913,0.2211830131445905,0.0923320669233112,0.21739130434782608,0.043478260869565216,0.5217391304347826,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
